0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:00:31 +0100] "GET /TweetBook/html_css/index.jsp HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:00:34 +0100] "GET /TweetBook/jsp/index.jsp HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:00:39 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:00:43 +0100] "GET /TweetBook/servlet/accueil HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:16:59 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:18:39 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:18:39 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:19:23 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:19:23 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:19:23 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:19:23 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:19:24 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:21:00 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:22:11 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:22:11 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:22:11 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:22:12 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:22:12 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:23:42 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:23:42 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:23:42 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:25:17 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2472
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:25:17 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:25:17 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:27:15 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:27:15 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:27:15 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:27:39 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:28:37 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:28:37 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7108
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:28:37 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:30:15 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:30:15 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:30:15 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:30:27 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:30:27 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:42:10 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:42:10 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:42:10 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:43:06 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:43:33 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:43:33 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:44:00 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:11 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:11 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:11 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:29 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:29 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:29 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:29 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:48 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:48 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:55 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:45:55 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:48:29 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:48:29 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:48:29 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:48:34 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:48:34 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7240
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:49:27 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:49:27 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7254
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:49:45 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:49:45 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7268
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:49:50 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:49:50 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7254
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:50:08 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:50:46 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:50:46 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7270
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:50:59 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
